k_features,cv_average_precision,last_added
1,0.26931183309125306,lab_min_51006
2,0.3134501813628009,lab_min_50813
3,0.33836196007092967,vital_count_615
4,0.35781029171589523,age
5,0.38181827818969905,lab_mean_50885
6,0.3942803638545618,lab_count_50824
7,0.4027306260341579,vital_min_211
8,0.40828416664416683,vital_count_224690
9,0.41613526301323356,vital_min_615
10,0.42183718857696295,lab_min_51301
11,0.42713593401010286,lab_min_50971
12,0.431999383433908,vital_mean_678
13,0.4390739596302861,ethnicity_other
14,0.44056261507699734,lab_max_50983
15,0.4472605127160435,vital_cv_220277
16,0.44868656137105567,vital_max_676
17,0.4501992733404374,lab_std_50970
18,0.45294246179744296,total_medications
