description,class,class_reason,tool,is_invasive
CHEST (PORTABLE AP),Chest,"The description refers to imaging of the chest, lungs or thoracic cavity.",X-ray,No
CHEST (PA & LAT),Chest,"The description refers to imaging of the chest, lungs or thoracic cavity.",X-ray,No
CT HEAD W/O CONTRAST,Head,The description involves imaging of the head or skull.,CT,No
CHEST PORT. LINE PLACEMENT,Chest,"The description refers to imaging of the chest, lungs or thoracic cavity.",Interventional Procedure,Yes
PORTABLE ABDOMEN,Abdomen,The description involves imaging of abdominal organs or the general abdomen.,X-ray,No
CHEST (PRE-OP PA & LAT),Chest,"The description refers to imaging of the chest, lungs or thoracic cavity.",X-ray,No
CT CHEST W/CONTRAST,Chest,"The description refers to imaging of the chest, lungs or thoracic cavity.",CT,No
CT ABDOMEN W/CONTRAST,Abdomen,The description involves imaging of abdominal organs or the general abdomen.,CT,No
MR HEAD W & W/O CONTRAST,Head,The description involves imaging of the head or skull.,MRI,No
CT CHEST W/O CONTRAST,Chest,"The description refers to imaging of the chest, lungs or thoracic cavity.",CT,No
CT C-SPINE W/O CONTRAST,Spine,"The description involves imaging of the spinal column (cervical, thoracic, lumbar, sacral).",CT,No
CT ABDOMEN W/O CONTRAST,Abdomen,The description involves imaging of abdominal organs or the general abdomen.,CT,No
LIVER OR GALLBLADDER US (SINGLE ORGAN),Abdomen,The description involves imaging of abdominal organs or the general abdomen.,Ultrasound,No
"CTA CHEST W&W/O C&RECONS, NON-CORONARY",Chest,"The description refers to imaging of the chest, lungs or thoracic cavity.",CT,No
ABDOMEN (SUPINE & ERECT),Abdomen,The description involves imaging of abdominal organs or the general abdomen.,CT,No
BABYGRAM (CHEST ONLY),Chest,"The description refers to imaging of the chest, lungs or thoracic cavity.",X-ray,No
MR HEAD W/O CONTRAST,Head,The description involves imaging of the head or skull.,MRI,No
BILAT LOWER EXT VEINS,MSK Lower Limb,The description involves musculoskeletal imaging of the lower limb.,X-ray,No
CAROTID SERIES COMPLETE,Neck,The description involves imaging of the neck or cervical region.,X-ray,No
RENAL U.S.,Genitourinary,The description involves imaging of the urinary or reproductive organs.,Ultrasound,No
CHEST (SINGLE VIEW),Chest,"The description refers to imaging of the chest, lungs or thoracic cavity.",X-ray,No
NEONATAL HEAD PORTABLE,Head,The description involves imaging of the head or skull.,X-ray,No
BY DIFFERENT PHYSICIAN,Irrelevant,Administrative note; not a radiology exam,,No
CT ABD W&W/O C,Abdomen,The description involves imaging of abdominal organs or the general abdomen.,CT,No
PICC W/O PORT,Vascular,"Central venous catheter insertion is a vascular interventional procedure using imaging guidance, and it requires catheter insertion, which is invasive.",Interventional Procedure,Yes
BY SAME PHYSICIAN,Irrelevant,Administrative note; not a radiology exam,,No
CTA HEAD W&W/O C & RECONS,Head,The description involves imaging of the head or skull.,CT,No
ABDOMEN U.S. (COMPLETE STUDY),Abdomen,The description involves imaging of abdominal organs or the general abdomen.,Ultrasound,No
